target,fold,num_rows_train,num_rows_test,num_features,features,MAE,RMSE,R2,QWK
fluency,1,126,11,2,"flu_speech_rate, flu_pause_ratio",0.5256207456113494,0.6916177514163901,0.04922301761008785,0.38069705093833783
lexical,1,42,11,2,"lex_MSTTR, lexical_advanced",0.6713257485313483,0.7962371655410373,-0.06546150664510919,0.04864864864864871
pronunciation,1,126,11,3,"pron_bad, pron_good, pron_neutral",0.4827651368932066,0.5349583264829041,-0.1447216442935575,0.5955882352941175
overall,1,42,11,7,"flu_speech_rate, flu_pause_ratio, lex_MSTTR, lexical_advanced, pron_bad, pron_good, pron_neutral",0.36985964448651243,0.41285634173337704,0.5692011816596237,0.6686746987951806
grammar_formula,1,42,11,0,overall*4 - fluency - lexical - pronunciation,1.4522947345025055,1.6303648810402647,-4.156374301961713,0.2122617207624934
fluency,2,126,11,2,"flu_speech_rate, flu_pause_ratio",0.5938865263378733,0.7408894394508299,-0.9752855476657709,-0.21292775665399244
lexical,2,42,11,2,"lex_MSTTR, lexical_advanced",0.5203700631076341,0.6605517742484973,-0.39856334362922774,0.4172185430463575
pronunciation,2,126,11,3,"pron_bad, pron_good, pron_neutral",0.7854329525363126,0.9231918871380475,-1.87459998655829,-0.04562737642585568
overall,2,42,11,7,"flu_speech_rate, flu_pause_ratio, lex_MSTTR, lexical_advanced, pron_bad, pron_good, pron_neutral",0.3831415422666702,0.4287281135093796,-0.1705654333110891,0.22656249999999978
grammar_formula,2,42,11,0,overall*4 - fluency - lexical - pronunciation,1.0529214852130104,1.3304514502321583,-13.160808491398827,0.26415094339622636
fluency,3,126,11,2,"flu_speech_rate, flu_pause_ratio",0.7010399348004086,0.811705729608217,0.20575034451869756,0.3377926421404682
lexical,3,42,11,2,"lex_MSTTR, lexical_advanced",0.49252975868479204,0.6504368693984987,0.47089154883903583,0.6046511627906976
pronunciation,3,126,11,3,"pron_bad, pron_good, pron_neutral",0.7424288105566323,0.7998443932624212,-0.16405830775087216,0.23478260869565215
overall,3,42,11,7,"flu_speech_rate, flu_pause_ratio, lex_MSTTR, lexical_advanced, pron_bad, pron_good, pron_neutral",0.44732974080012616,0.5720518298845346,0.5660664238357962,0.6831275720164609
grammar_formula,3,42,11,0,overall*4 - fluency - lexical - pronunciation,0.5632641038316962,0.718473278399169,0.5910922025230008,0.7468619246861925
fluency,4,129,10,2,"flu_speech_rate, flu_pause_ratio",0.5327817139099108,0.639833691170417,-0.35055555416663275,0.2857142857142858
lexical,4,43,10,2,"lex_MSTTR, lexical_advanced",0.3726364606973803,0.4941393781234434,0.5734956768345445,0.736842105263158
pronunciation,4,129,10,3,"pron_bad, pron_good, pron_neutral",0.404927628505119,0.5717165422531022,-0.4984976719121754,0.08163265306122458
overall,4,43,10,7,"flu_speech_rate, flu_pause_ratio, lex_MSTTR, lexical_advanced, pron_bad, pron_good, pron_neutral",0.5069957301961481,0.558538511029916,0.10867066198995523,0.33628318584070804
grammar_formula,4,43,10,0,overall*4 - fluency - lexical - pronunciation,1.3048827070106068,1.554902143282872,-3.0128143986484126,-0.13953488372093048
fluency,5,129,10,2,"flu_speech_rate, flu_pause_ratio",0.45533765447556346,0.5630770256589177,0.07597599468154914,0.17647058823529416
lexical,5,43,10,2,"lex_MSTTR, lexical_advanced",0.3688283194538327,0.46490611280146293,0.4321505583706625,0.43661971830985924
pronunciation,5,129,10,3,"pron_bad, pron_good, pron_neutral",0.40746920989748087,0.46465451251708306,0.4327650154286027,0.6258503401360545
overall,5,43,10,7,"flu_speech_rate, flu_pause_ratio, lex_MSTTR, lexical_advanced, pron_bad, pron_good, pron_neutral",0.21968498062129038,0.3281484198525621,0.6815337953368329,0.8837209302325582
grammar_formula,5,43,10,0,overall*4 - fluency - lexical - pronunciation,0.8844422410164297,1.3109716450310127,-2.23891006657304,0.5262483994878362
